#T,E,G,success rate 
160,4,0.2,0.2
160,4,0.25,0.1
160,8,0.05,0.2
160,8,0.1,0.1
160,8,0.15,0.5
160,8,0.2,0.5
160,8,0.25,0.2
160,16,0.05,0.3
160,16,0.1,0.7
160,16,0.15,0.6
160,16,0.2,0.5
160,16,0.25,0.5
160,32,0.05,0.9
160,32,0.1,0.6
160,32,0.15,0.5
160,32,0.2,0.5
160,32,0.25,0.4
160,64,0.05,0.9
160,64,0.1,0.4
160,64,0.15,0.5
160,64,0.2,0.6
160,64,0.25,0.2
160,128,0.05,0.8
160,128,0.1,0.4
160,128,0.15,0.5
160,128,0.2,0.4
160,128,0.25,0.4
160,256,0.05,0.4
160,256,0.1,0.3
160,256,0.15,0.4
160,256,0.2,0.4
160,256,0.25,0.4
170,1,0.05,0.0
170,1,0.1,0.0
170,1,0.15,0.0
170,1,0.2,0.0
170,1,0.25,0.1
170,2,0.05,0.1
170,2,0.1,0.0
170,2,0.15,0.5
170,2,0.2,0.2
170,2,0.25,0.2
170,4,0.05,0.1
170,4,0.1,0.3
170,4,0.15,0.4
170,4,0.2,0.3
170,4,0.25,0.1
170,8,0.05,0.5
170,8,0.1,0.4
170,8,0.15,0.1
170,8,0.2,0.4
170,8,0.25,0.6
170,16,0.05,0.5
170,16,0.1,0.5
170,16,0.15,0.2
170,16,0.2,0.5
170,16,0.25,0.4
170,32,0.05,0.5
170,32,0.1,0.8
170,32,0.15,0.5
170,32,0.2,0.6
170,32,0.25,0.5
170,64,0.05,0.9
170,64,0.1,0.9
170,64,0.15,0.4
170,64,0.2,0.5
170,64,0.25,0.7
170,128,0.05,0.4
170,128,0.1,0.6
170,128,0.15,0.4
170,128,0.2,0.7
170,128,0.25,0.6
170,256,0.05,0.6
170,256,0.1,0.3
170,256,0.15,0.4
170,256,0.2,0.2
170,256,0.25,0.1
180,1,0.05,0.0
180,1,0.1,0.0
180,1,0.15,0.3
180,1,0.2,0.2
180,1,0.25,0.1
180,2,0.05,0.0
180,2,0.1,0.1
180,2,0.15,0.1
180,2,0.2,0.0
180,2,0.25,0.0
180,4,0.05,0.1
180,4,0.1,0.0
180,4,0.15,0.2
180,4,0.2,0.5
180,4,0.25,0.3
180,8,0.05,0.3
180,8,0.1,0.3
180,8,0.15,0.3
180,8,0.2,0.3
180,8,0.25,0.4
180,16,0.05,0.6
180,16,0.1,0.8
180,16,0.15,0.2
180,16,0.2,0.5
180,16,0.25,0.6
180,32,0.05,0.4
180,32,0.1,0.6
180,32,0.15,0.5
180,32,0.2,0.5
180,32,0.25,0.6
180,64,0.05,0.5
180,64,0.1,0.5
180,64,0.15,0.1
180,64,0.2,0.4
180,64,0.25,0.8
180,128,0.05,0.6
180,128,0.1,0.5
180,128,0.15,0.5
180,128,0.2,0.6
180,128,0.25,0.6
180,256,0.05,0.6
180,256,0.1,0.1
180,256,0.15,0.4
180,256,0.2,0.2
180,256,0.25,0.3
190,1,0.05,0.0
190,1,0.1,0.1
190,1,0.15,0.0
190,1,0.2,0.1
190,1,0.25,0.1
190,2,0.05,0.1
190,2,0.1,0.0
190,2,0.15,0.0
190,2,0.2,0.2
190,2,0.25,0.1
190,4,0.05,0.1
190,4,0.1,0.1
190,4,0.15,0.2
190,4,0.2,0.3
190,4,0.25,0.1
190,8,0.05,0.2
190,8,0.1,0.1
190,8,0.15,0.1
190,8,0.2,0.1
190,8,0.25,0.4
190,16,0.05,0.5
190,16,0.1,0.5
190,16,0.15,0.3
190,16,0.2,0.2
190,16,0.25,0.5
190,32,0.05,0.7
190,32,0.1,0.5
190,32,0.15,0.2
190,32,0.2,0.5
190,32,0.25,0.3
190,64,0.05,0.6
190,64,0.1,0.6
190,64,0.15,0.7
190,64,0.2,0.4
190,64,0.25,0.7
190,128,0.05,0.4
190,128,0.1,0.5
190,128,0.15,0.6
190,128,0.2,0.3
190,128,0.25,0.0
190,256,0.05,0.5
190,256,0.1,0.4
190,256,0.15,0.2
190,256,0.2,0.2
190,256,0.25,0.7
200,1,0.05,0.0
200,1,0.1,0.0
200,1,0.15,0.0
200,1,0.2,0.1
200,1,0.25,0.0
200,2,0.05,0.0
200,2,0.1,0.0
200,2,0.15,0.0
200,2,0.2,0.0
200,2,0.25,0.0
200,4,0.05,0.1
200,4,0.1,0.1
200,4,0.15,0.1
200,4,0.2,0.3
200,4,0.25,0.4
200,8,0.05,0.1
200,8,0.1,0.3
200,8,0.15,0.3
200,8,0.2,0.3
200,8,0.25,0.0
200,16,0.05,0.2
200,16,0.1,0.2
200,16,0.15,0.4
200,16,0.2,0.2
200,16,0.25,0.4
200,32,0.05,0.7
200,32,0.1,0.3
200,32,0.15,0.6
200,32,0.2,0.6
200,32,0.25,0.3
200,64,0.05,0.6
200,64,0.1,0.3
200,64,0.15,0.5
200,64,0.2,0.5
200,64,0.25,0.2
200,128,0.05,0.3
200,128,0.1,0.5
200,128,0.15,0.4
200,128,0.2,0.3
200,128,0.25,0.5
200,256,0.05,0.5
200,256,0.1,0.4
200,256,0.15,0.3
200,256,0.2,0.6
200,256,0.25,0.2
210,1,0.05,0.0
210,1,0.1,0.0
210,1,0.15,0.1
210,1,0.2,0.0
210,1,0.25,0.0
210,2,0.05,0.0
210,2,0.1,0.1
210,2,0.15,0.0
210,2,0.2,0.0
210,2,0.25,0.0
210,4,0.05,0.1
210,4,0.1,0.0
210,4,0.15,0.1
210,4,0.2,0.3
210,4,0.25,0.0
210,8,0.05,0.2
210,8,0.1,0.1
210,8,0.15,0.2
210,8,0.2,0.1
210,8,0.25,0.2
210,16,0.05,0.3
210,16,0.1,0.2
210,16,0.15,0.1
210,16,0.2,0.4
210,16,0.25,0.2
210,32,0.05,0.6
210,32,0.1,0.3
210,32,0.15,0.4
210,32,0.2,0.3
210,32,0.25,0.2
210,64,0.05,0.5
210,64,0.1,0.4
210,64,0.15,0.3
210,64,0.2,0.2
210,64,0.25,0.5
210,128,0.05,0.4
210,128,0.1,0.2
210,128,0.15,0.2
210,128,0.2,0.4
210,128,0.25,0.2
210,256,0.05,0.3
210,256,0.1,0.3
210,256,0.15,0.3
210,256,0.2,0.5
210,256,0.25,0.4
220,1,0.05,0.0
220,1,0.1,0.0
220,1,0.15,0.1
220,1,0.2,0.0
220,1,0.25,0.0
220,2,0.05,0.0
220,2,0.1,0.0
220,2,0.15,0.0
220,2,0.2,0.1
220,2,0.25,0.0
220,4,0.05,0.0
220,4,0.1,0.2
220,4,0.15,0.3
220,4,0.2,0.0
220,4,0.25,0.0
220,8,0.05,0.0
220,8,0.1,0.0
220,8,0.15,0.1
220,8,0.2,0.2
220,8,0.25,0.2
220,16,0.05,0.3
220,16,0.1,0.3
220,16,0.15,0.2
220,16,0.2,0.4
220,16,0.25,0.2
220,32,0.05,0.5
220,32,0.1,0.2
220,32,0.15,0.6
220,32,0.2,0.1
220,32,0.25,0.2
220,64,0.05,0.2
220,64,0.1,0.4
220,64,0.15,0.3
220,64,0.2,0.1
220,64,0.25,0.2
220,128,0.05,0.4
220,128,0.1,0.3
220,128,0.15,0.5
220,128,0.2,0.3
220,128,0.25,0.4
220,256,0.05,0.6
220,256,0.1,0.2
220,256,0.15,0.4
220,256,0.2,0.4
220,256,0.25,0.2
230,1,0.05,0.0
230,1,0.1,0.0
230,1,0.15,0.0
230,1,0.2,0.0
230,1,0.25,0.0
230,2,0.05,0.0
230,2,0.1,0.0
230,2,0.15,0.0
230,2,0.2,0.0
230,2,0.25,0.0
230,4,0.05,0.0
230,4,0.1,0.0
230,4,0.15,0.1
230,4,0.2,0.1
230,4,0.25,0.2
230,8,0.05,0.0
230,8,0.1,0.3
230,8,0.15,0.0
230,8,0.2,0.2
230,8,0.25,0.0
230,16,0.05,0.3
230,16,0.1,0.3
230,16,0.15,0.2
230,16,0.2,0.3
230,16,0.25,0.5
230,32,0.05,0.2
230,32,0.1,0.2
230,32,0.15,0.6
230,32,0.2,0.5
230,32,0.25,0.4
230,64,0.05,0.4
230,64,0.1,0.2
230,64,0.15,0.5
230,64,0.2,0.3
230,64,0.25,0.5
230,128,0.05,0.3
230,128,0.1,0.1
230,128,0.15,0.3
230,128,0.2,0.4
230,128,0.25,0.2
230,256,0.05,0.3
230,256,0.1,0.5
230,256,0.15,0.6
230,256,0.2,0.3
230,256,0.25,0.0
240,1,0.05,0.0
240,1,0.1,0.0
240,1,0.15,0.1
240,1,0.2,0.0
240,1,0.25,0.2
240,2,0.05,0.0
240,2,0.1,0.0
240,2,0.15,0.0
240,2,0.2,0.1
240,2,0.25,0.1
240,4,0.05,0.0
240,4,0.1,0.0
240,4,0.15,0.1
240,4,0.2,0.0
240,4,0.25,0.0
240,8,0.05,0.0
240,8,0.1,0.1
240,8,0.15,0.1
240,8,0.2,0.0
240,8,0.25,0.1
240,16,0.05,0.1
240,16,0.1,0.1
240,16,0.15,0.0
240,16,0.2,0.1
240,16,0.25,0.3
240,32,0.05,0.0
240,32,0.1,0.1
240,32,0.15,0.3
240,32,0.2,0.2
240,32,0.25,0.3
240,64,0.05,0.4
240,64,0.1,0.3
240,64,0.15,0.1
240,64,0.2,0.2
240,64,0.25,0.4
240,128,0.05,0.1
240,128,0.1,0.3
240,128,0.15,0.1
240,128,0.2,0.1
240,128,0.25,0.6
240,256,0.05,0.2
240,256,0.1,0.0
240,256,0.15,0.1
240,256,0.2,0.3
240,256,0.25,0.1
250,1,0.05,0.0
250,1,0.1,0.0
250,1,0.15,0.0
250,1,0.2,0.0
250,1,0.25,0.0
250,2,0.05,0.0
250,2,0.1,0.0
250,2,0.15,0.0
250,2,0.2,0.1
250,2,0.25,0.1
250,4,0.05,0.0
250,4,0.1,0.1
250,4,0.15,0.0
250,4,0.2,0.1
250,4,0.25,0.1
250,8,0.05,0.0
250,8,0.1,0.0
250,8,0.15,0.2
250,8,0.2,0.1
250,8,0.25,0.1
250,16,0.05,0.0
250,16,0.1,0.0
250,16,0.15,0.2
250,16,0.2,0.0
250,16,0.25,0.1
250,32,0.05,0.1
250,32,0.1,0.1
250,32,0.15,0.0
250,32,0.2,0.2
250,32,0.25,0.2
250,64,0.05,0.1
250,64,0.1,0.1
250,64,0.15,0.3
250,64,0.2,0.1
250,64,0.25,0.3
250,128,0.05,0.3
250,128,0.1,0.2
250,128,0.15,0.1
250,128,0.2,0.1
250,128,0.25,0.1
250,256,0.05,0.2
250,256,0.1,0.2
250,256,0.15,0.1
250,256,0.2,0.4
250,256,0.25,0.1
260,1,0.05,0.0
260,1,0.1,0.0
260,1,0.15,0.0
260,1,0.2,0.0
260,1,0.25,0.0
260,2,0.05,0.0
260,2,0.1,0.0
260,2,0.15,0.0
260,2,0.2,0.0
260,2,0.25,0.1
260,4,0.05,0.0
260,4,0.1,0.0
260,4,0.15,0.0
260,4,0.2,0.0
260,4,0.25,0.0
260,8,0.05,0.0
260,8,0.1,0.0
260,8,0.15,0.1
260,8,0.2,0.0
260,8,0.25,0.1
260,16,0.05,0.0
260,16,0.1,0.0
260,16,0.15,0.2
260,16,0.2,0.1
260,16,0.25,0.1
260,32,0.05,0.1
260,32,0.1,0.1
260,32,0.15,0.1
260,32,0.2,0.1
260,32,0.25,0.2
260,64,0.05,0.2
260,64,0.1,0.3
260,64,0.15,0.3
260,64,0.2,0.2
260,64,0.25,0.1
260,128,0.05,0.2
260,128,0.1,0.0
260,128,0.15,0.3
260,128,0.2,0.0
260,128,0.25,0.1
260,256,0.05,0.0
260,256,0.1,0.0
260,256,0.15,0.2
260,256,0.2,0.1
260,256,0.25,0.3
270,1,0.05,0.0
270,1,0.1,0.0
270,1,0.15,0.0
270,1,0.2,0.0
270,1,0.25,0.0
270,2,0.05,0.0
270,2,0.1,0.0
270,2,0.15,0.0
270,2,0.2,0.0
270,2,0.25,0.0
270,4,0.05,0.0
270,4,0.1,0.0
270,4,0.15,0.0
270,4,0.2,0.0
270,4,0.25,0.1
270,8,0.05,0.0
270,8,0.1,0.0
270,8,0.15,0.0
270,8,0.2,0.0
270,8,0.25,0.0
270,16,0.05,0.0
270,16,0.1,0.0
270,16,0.15,0.0
270,16,0.2,0.1
270,16,0.25,0.0
270,32,0.05,0.0
270,32,0.1,0.0
270,32,0.15,0.0
270,32,0.2,0.0
270,32,0.25,0.1
270,64,0.05,0.1
270,64,0.1,0.1
270,64,0.15,0.1
270,64,0.2,0.2
270,64,0.25,0.2
270,128,0.05,0.1
270,128,0.1,0.2
270,128,0.15,0.1
270,128,0.2,0.4
270,128,0.25,0.2
270,256,0.05,0.1
270,256,0.1,0.1
270,256,0.15,0.0
270,256,0.2,0.0
270,256,0.25,0.0
280,1,0.05,0.0
280,1,0.1,0.0
280,1,0.15,0.0
280,1,0.2,0.0
280,1,0.25,0.0
280,2,0.05,0.0
280,2,0.1,0.0
280,2,0.15,0.0
280,2,0.2,0.0
280,2,0.25,0.0
280,4,0.05,0.0
280,4,0.1,0.0
280,4,0.15,0.0
280,4,0.2,0.0
280,4,0.25,0.1
280,8,0.05,0.0
280,8,0.1,0.0
280,8,0.15,0.0
280,8,0.2,0.0
280,8,0.25,0.0
280,16,0.05,0.0
280,16,0.1,0.0
280,16,0.15,0.1
280,16,0.2,0.1
280,16,0.25,0.3
280,32,0.05,0.1
280,32,0.1,0.0
280,32,0.15,0.1
280,32,0.2,0.2
280,32,0.25,0.2
280,64,0.05,0.0
280,64,0.1,0.1
280,64,0.15,0.1
280,64,0.2,0.1
280,64,0.25,0.1
280,128,0.05,0.0
280,128,0.1,0.0
280,128,0.15,0.0
280,128,0.2,0.1
280,128,0.25,0.2
280,256,0.05,0.0
280,256,0.1,0.0
280,256,0.15,0.0
280,256,0.2,0.0
280,256,0.25,0.0
290,1,0.05,0.0
290,1,0.1,0.0
290,1,0.15,0.0
290,1,0.2,0.0
290,1,0.25,0.1
290,2,0.05,0.0
290,2,0.1,0.0
290,2,0.15,0.0
290,2,0.2,0.0
290,2,0.25,0.1
290,4,0.05,0.0
290,4,0.1,0.0
290,4,0.15,0.0
290,4,0.2,0.0
290,4,0.25,0.0
290,8,0.05,0.0
290,8,0.1,0.0
290,8,0.15,0.0
290,8,0.2,0.2
290,8,0.25,0.0
290,16,0.05,0.0
290,16,0.1,0.0
290,16,0.15,0.0
290,16,0.2,0.2
290,16,0.25,0.2
290,32,0.05,0.0
290,32,0.1,0.1
290,32,0.15,0.0
290,32,0.2,0.0
290,32,0.25,0.0
290,64,0.05,0.0
290,64,0.1,0.0
290,64,0.15,0.1
290,64,0.2,0.2
290,64,0.25,0.1
290,128,0.05,0.0
290,128,0.1,0.0
290,128,0.15,0.0
290,128,0.2,0.0
290,128,0.25,0.0
290,256,0.05,0.0
290,256,0.1,0.0
290,256,0.15,0.0
290,256,0.2,0.0
290,256,0.25,0.0
300,1,0.05,0.0
300,1,0.1,0.0
300,1,0.15,0.0
300,1,0.2,0.0
300,1,0.25,0.0
300,2,0.05,0.0
300,2,0.1,0.0
300,2,0.15,0.0
300,2,0.2,0.0
300,2,0.25,0.0
300,4,0.05,0.0
300,4,0.1,0.0
300,4,0.15,0.0
300,4,0.2,0.0
300,4,0.25,0.0
300,8,0.05,0.0
300,8,0.1,0.0
300,8,0.15,0.0
300,8,0.2,0.0
300,8,0.25,0.0
300,16,0.05,0.0
300,16,0.1,0.0
300,16,0.15,0.0
300,16,0.2,0.0
300,16,0.25,0.0
300,32,0.05,0.0
300,32,0.1,0.0
300,32,0.15,0.1
300,32,0.2,0.0
300,32,0.25,0.2
300,64,0.05,0.0
300,64,0.1,0.0
300,64,0.15,0.0
300,64,0.2,0.1
300,64,0.25,0.0
300,128,0.05,0.1
300,128,0.1,0.0
300,128,0.15,0.0
300,128,0.2,0.2
300,128,0.25,0.0
300,256,0.05,0.0
300,256,0.1,0.0
300,256,0.15,0.1
300,256,0.2,0.0
300,256,0.25,0.0
